FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,geometry,index_right,NOMBDEP,NOMBPROV,NOMBDIST,UBIGEO
19640112,142153,-11.71,-74.72,152,4.7,20223006,POINT (-74.72 -11.71),750.0,JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,120135
19640117,132722,-3.44,-77.5,33,4.6,20223006,POINT (-77.5 -3.44),1373.0,LORETO,DATEM DEL MARAÑON,MORONA,160704
19640126,90935,-16.36,-71.62,116,6.2,20223006,POINT (-71.62 -16.36),83.0,AREQUIPA,AREQUIPA,CERRO COLORADO,040104
19640128,130350,-14.82,-71.85,136,4.6,20223006,POINT (-71.85 -14.82),892.0,CUSCO,ESPINAR,COPORAQUE,080803
19640201,114737,-3.226,-77.77,87,5.4,20223006,POINT (-77.77 -3.226),1373.0,LORETO,DATEM DEL MARAÑON,MORONA,160704
19640204,62453,-4.26,-80.8,100,4.5,20223006,POINT (-80.8 -4.26),1512.0,PIURA,SULLANA,MARCAVELICA,200605
19640204,73808,-4.0,-80.79,67,4.9,20223006,POINT (-80.79 -4),450.0,TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,240203
19640215,44606,-7.68,-76.0,33,4.6,20223006,POINT (-76 -7.68),570.0,LORETO,UCAYALI,PAMPA HERMOSA,160604
19640216,100338,-7.65,-75.67,35,4.9,20223006,POINT (-75.67 -7.65),567.0,LORETO,UCAYALI,CONTAMANA,160601
19640218,103323,-8.3,-78.0,33,4.9,20223006,POINT (-78 -8.3),372.0,ANCASH,PALLASCA,HUACASCHUQUE,021504
19640219,62912,-17.16,-70.72,134,4.5,20223006,POINT (-70.72 -17.16),1553.0,MOQUEGUA,MARISCAL NIETO,TORATA,180106
19640220,72223,-9.32,-74.54,77,4.9,20223006,POINT (-74.54 -9.32),1624.0,UCAYALI,CORONEL PORTILLO,IPARIA,250103
19640220,105743,-13.759,-75.62,65,4.9,20223006,POINT (-75.62 -13.759),1537.0,ICA,PISCO,HUMAY,110503
19640221,135148,-7.0,-81.5,33,4.8,20223006,POINT (-81.5 -7),,,,,
19640221,215213,-7.34,-79.15,36,4.8,20223006,POINT (-79.15 -7.34),1280.0,CAJAMARCA,CONTUMAZA,YONAN,060508
